compiler,run,status,exit_code,compilation_time_seconds,peak_rss_kb,user_cpu_s,sys_cpu_s,job_id,array_task_id,node,started_at,finished_at
new,1,SUCCESS,0,1541.50581,3695584.0,4201.59,217.03,1642218,1,cn99,2026-05-24T23:18:19+00:00,2026-05-24T23:44:00+00:00
new,10,SUCCESS,0,1541.284616,3695748.0,4287.14,178.72,1642218,10,cn99,2026-05-25T00:22:36+00:00,2026-05-25T00:48:17+00:00
new,11,SUCCESS,0,1545.576801,3695604.0,4302.89,175.88,1642218,11,cn99,2026-05-25T00:22:43+00:00,2026-05-25T00:48:29+00:00
new,12,SUCCESS,0,1549.671165,3695652.0,4266.95,185.13,1642218,12,cn99,2026-05-25T00:22:55+00:00,2026-05-25T00:48:45+00:00
new,13,SUCCESS,0,1562.123961,3695632.0,4277.41,195.88,1642218,13,cn99,2026-05-25T00:36:06+00:00,2026-05-25T01:02:08+00:00
new,14,SUCCESS,0,1541.738988,3695620.0,4286.75,179.71,1642218,14,cn99,2026-05-25T00:48:19+00:00,2026-05-25T01:14:00+00:00
new,15,SUCCESS,0,1544.854913,3695692.0,4298.04,181.22,1642218,15,cn99,2026-05-25T00:48:29+00:00,2026-05-25T01:14:14+00:00
new,16,SUCCESS,0,1550.539561,3695672.0,4272.2,182.24,1642218,16,cn99,2026-05-25T00:48:46+00:00,2026-05-25T01:14:36+00:00
new,17,SUCCESS,0,1565.679701,3695652.0,4277.88,200.13,1642218,17,cn99,2026-05-25T01:02:09+00:00,2026-05-25T01:28:15+00:00
new,18,SUCCESS,0,1541.123491,3695684.0,4286.51,179.6,1642218,18,cn99,2026-05-25T01:14:02+00:00,2026-05-25T01:39:43+00:00
new,19,SUCCESS,0,1545.791582,3695724.0,4297.37,180.0,1642218,19,cn99,2026-05-25T01:14:15+00:00,2026-05-25T01:40:01+00:00
new,2,SUCCESS,0,1550.872423,3695536.0,4268.53,181.9,1642218,2,cn99,2026-05-24T23:31:09+00:00,2026-05-24T23:56:59+00:00
new,20,SUCCESS,0,1555.729387,3695660.0,4276.24,185.75,1642218,20,cn99,2026-05-25T01:14:37+00:00,2026-05-25T01:40:33+00:00
new,21,SUCCESS,0,1559.693914,3695536.0,4273.23,194.59,1642218,21,cn99,2026-05-25T01:28:16+00:00,2026-05-25T01:54:16+00:00
new,22,SUCCESS,0,1542.819594,3695664.0,4288.76,178.55,1642218,22,cn99,2026-05-25T01:39:44+00:00,2026-05-25T02:05:27+00:00
new,23,SUCCESS,0,1544.862767,3695656.0,4298.29,177.21,1642218,23,cn99,2026-05-25T01:40:02+00:00,2026-05-25T02:05:47+00:00
new,24,SUCCESS,0,1551.457264,3695512.0,4271.72,185.51,1642218,24,cn99,2026-05-25T01:40:34+00:00,2026-05-25T02:06:25+00:00
new,25,SUCCESS,0,1568.808025,3695640.0,4282.7,198.16,1642218,25,cn99,2026-05-25T01:54:17+00:00,2026-05-25T02:20:26+00:00
new,26,SUCCESS,0,1539.176393,3695644.0,4282.52,179.2,1642218,26,cn99,2026-05-25T02:05:28+00:00,2026-05-25T02:31:07+00:00
